Rank,Species ID,Species,Family,SF%_Total,DEN_Total,SF%_Expert,DEN_Expert,SF%_Novice,DEN_Novice
51,207,Black Durgon(Melichthys niger),Triggerfish(Balistidae),30.22,2.58,37.8,2.57,27.89,2.59
52,194,Mahogany Snapper(Lutjanus mahogoni),Snapper(Lutjanidae),29.7,2.48,38.79,2.51,26.91,2.46
53,160,Saucereye Porgy(Calamus calamus),Porgy(Sparidae),29,1.76,40.35,1.72,25.51,1.78
54,54,Yellowtail Damselfish(Microspathodon chrysurus),Damselfish(Pomacentridae),28.83,1.94,30.26,1.84,28.39,1.97
55,221,Bermuda Chub/Gray Chub(Kyphosus sectatrix/K bigibbus),Chub(Kyphosidae),27.84,2.13,41.92,2.09,23.52,2.15
56,50,Dusky Damselfish(Stegastes adustus),Damselfish(Pomacentridae),27.51,2.05,26.03,2.07,27.97,2.05
57,154,Redtail Parrotfish(Sparisoma chrysopterum),Parrotfish(Scaridae),25.48,1.88,45.04,1.87,19.48,1.89
58,32,Longsnout Butterflyfish(Chaetodon aculeatus),Butterflyfish(Chaetodontidae),24.32,1.64,34.4,1.63,21.23,1.65
59,216,Puddingwife(Halichoeres radiatus),Wrasse(Labridae),24.06,1.71,31.2,1.64,21.87,1.74
60,238,Sand Tilefish(Malacanthus plumieri),Tilefish(Malacanthidae),23.23,1.82,37.2,1.86,18.95,1.8
61,3,French Angelfish(Pomacanthus paru),Angelfish(Pomacanthidae),22.69,1.66,18.33,1.46,24.03,1.71
62,137,Horse-Eye Jack(Caranx latus),Jack(Carangidae),22.62,2.52,32.47,2.59,19.6,2.49
63,99,Red Hind(Epinephelus guttatus),Seabass(Serranidae),21.64,1.47,29.57,1.4,19.2,1.5
64,228,Yellowhead Jawfish(Opistognathus aurifrons),Jawfish(Opistognathidae),21.05,2.27,35.73,2.34,16.54,2.22
65,214,Clown Wrasse(Halichoeres maculipinna),Wrasse(Labridae),21.04,2.09,33,2.08,17.37,2.1
66,81,Goldspot Goby(Gnatholepis thompsoni),Goby(Gobiidae),19.24,2.04,39.48,2.09,13.04,2
67,110,White Margate(Haemulon album),Grunt(Haemulidae),18.95,2.03,27.5,1.89,16.32,2.1
68,419,Cleaning Goby(Elacatinus genie),Goby(Gobiidae),17.96,1.97,34.47,2.01,12.9,1.94
69,200,Longjaw Squirrelfish(Neoniphon marianus),Squirrelfish(Holocentridae),17.61,1.77,32.58,1.76,13.02,1.77
70,170,Southern Stingray(Dasyatis americana),Stingray(Dasyatidae),17.55,1.29,17.77,1.29,17.48,1.28
71,185,Tobaccofish(Serranus tabacarius),Seabass(Serranidae),17,1.67,23.68,1.6,14.95,1.7
72,198,Blackbar Soldierfish(Myripristis jacobus),Squirrelfish(Holocentridae),16.96,2.06,26.72,2.03,13.97,2.08
73,195,Mutton Snapper(Lutjanus analis),Snapper(Lutjanidae),16.11,1.66,17.27,1.41,15.75,1.75
